id,status,created_date,updated_date,area,user
1,true,5/11/2023,6/5/2023,Research and Development,1
2,true,7/6/2023,3/23/2023,Business Development,1
3,false,1/14/2024,8/28/2023,Sales,1
4,false,10/15/2023,12/16/2023,Training,1
5,true,10/13/2023,5/18/2023,Engineering,1
6,false,12/1/2023,2/14/2023,Services,1
7,true,12/23/2023,5/5/2023,Business Development,1
8,false,6/18/2023,10/28/2023,Product Management,1
9,false,12/3/2023,9/5/2023,Business Development,1
10,false,5/24/2023,1/22/2023,Human Resources,1
11,false,1/3/2024,5/16/2023,Sales,1
12,true,10/27/2023,1/25/2023,Services,1
13,true,6/27/2023,9/28/2023,Business Development,1
14,true,7/8/2023,2/27/2023,Sales,1
15,false,7/9/2023,12/7/2023,Product Management,1
16,true,11/8/2023,12/14/2023,Business Development,1
17,true,1/6/2024,2/14/2023,Sales,1
18,false,6/4/2023,1/7/2024,Marketing,1
19,true,5/15/2023,5/30/2023,Research and Development,1
20,false,6/27/2023,4/14/2023,Legal,1
21,true,8/28/2023,3/16/2023,Product Management,1
22,true,10/5/2023,6/8/2023,Marketing,1
23,true,1/21/2023,2/9/2023,Services,1
24,false,5/2/2023,5/19/2023,Training,1
25,false,6/20/2023,4/23/2023,Legal,1
26,false,7/28/2023,8/8/2023,Research and Development,1
27,true,3/19/2023,2/10/2023,Accounting,1
28,true,4/27/2023,10/1/2023,Product Management,1
29,true,10/31/2023,9/22/2023,Accounting,1
30,false,8/22/2023,8/4/2023,Human Resources,1
31,false,8/15/2023,11/5/2023,Accounting,1
32,true,8/8/2023,8/22/2023,Services,1
33,true,9/22/2023,1/23/2023,Support,1
34,true,6/26/2023,8/19/2023,Training,1
35,true,11/30/2023,1/26/2023,Legal,1
36,false,10/15/2023,1/1/2024,Research and Development,1
37,false,4/27/2023,9/18/2023,Human Resources,1
38,false,7/11/2023,8/25/2023,Services,1
39,true,6/9/2023,3/12/2023,Support,1
40,true,6/12/2023,7/7/2023,Marketing,1
41,false,4/18/2023,2/11/2023,Research and Development,1
42,false,12/1/2023,1/11/2024,Training,1
43,true,6/14/2023,5/26/2023,Accounting,1
44,false,1/14/2024,4/15/2023,Training,1
45,true,7/20/2023,11/18/2023,Research and Development,1
46,false,6/9/2023,12/13/2023,Marketing,1
47,true,7/12/2023,12/30/2023,Training,1
48,true,4/21/2023,12/19/2023,Legal,1
49,true,4/17/2023,5/2/2023,Product Management,1
50,true,2/15/2023,2/25/2023,Product Management,1
51,false,3/30/2023,5/19/2023,Sales,1
52,false,6/1/2023,7/19/2023,Engineering,1
53,false,2/2/2023,1/24/2023,Human Resources,1
54,true,5/22/2023,5/15/2023,Business Development,1
55,true,7/17/2023,1/13/2024,Business Development,1
56,false,4/8/2023,12/12/2023,Accounting,1
57,true,9/18/2023,11/27/2023,Accounting,1
58,true,10/11/2023,2/14/2023,Human Resources,1
59,false,12/31/2023,6/5/2023,Support,1
60,false,9/8/2023,9/25/2023,Services,1
61,true,7/5/2023,5/4/2023,Accounting,1
62,true,8/2/2023,6/14/2023,Marketing,1
63,true,6/2/2023,4/2/2023,Marketing,1
