id,status,created_date,updated_date,estudios,user
1,true,12/2/2023,12/17/2023,University of Applied Sciences Basel (FHBB ),1
2,true,5/17/2023,11/4/2023,University of Maiduguri,1
3,false,2/13/2023,9/28/2023,Luther College,1
4,true,4/30/2023,8/27/2023,"Fachhochschule Heilbronn, Hochschule für Technik und Wirtschaft",1
5,false,12/4/2023,3/15/2023,Instituto Tecnologico de Minatitlan,1
6,true,8/3/2023,7/18/2023,Taiz University,1
7,true,11/7/2023,11/13/2023,Tilak Maharashtra Vidyapeeth,1
8,false,11/28/2023,6/6/2023,Sungshin Women's University,1
9,true,2/28/2023,10/2/2023,Université de Gabès,1
10,true,7/10/2023,8/25/2023,Kashan University,1
11,false,2/23/2023,9/29/2023,Institut Supérieure d'Electronique du Nord,1
12,false,1/25/2023,12/27/2023,School of Education Pisa,1
13,true,10/13/2023,9/17/2023,Sur University College,1
14,true,3/23/2023,2/26/2023,Foothill-De Anza Community College District,1
15,false,12/13/2023,1/16/2023,Glasgow Caledonian University,1
16,false,5/30/2023,2/9/2023,Universidad Nacional de Entre Ríos,1
17,true,3/20/2023,5/25/2023,Framingham State College,1
18,true,2/16/2023,4/5/2023,Universidad de Los Lagos,1
19,false,9/13/2023,6/26/2023,Taganrog State University of Radioengineering,1
20,false,1/7/2024,9/19/2023,Nagoya University of Commerce and Business Administration,1
21,false,12/29/2023,7/6/2023,Universidad de Belgrano,1
22,true,8/20/2023,10/14/2023,"Johns Hopkins University, SAIS Bologna Center",1
23,true,1/31/2023,2/9/2023,Universidad Autónoma de Guadalajara,1
24,false,6/28/2023,11/30/2023,Institut Catholique de Toulouse,1
25,false,6/1/2023,6/16/2023,"University of Education, Winneba",1
26,true,6/12/2023,10/25/2023,Libya Open University,1
27,false,6/17/2023,12/22/2023,Hanoi Open University,1
28,true,11/1/2023,1/7/2024,Bethlehem University,1
29,false,12/12/2023,12/20/2023,Ege University,1
30,false,3/6/2023,4/19/2023,Indian Law Institue,1
31,true,11/21/2023,10/21/2023,Universidad Dr. Rafael Belloso Chacín,1
32,true,8/31/2023,8/28/2023,Czech University of Agriculture Prague,1
33,true,2/7/2023,1/22/2023,St. Petersburg StateMechnikov  Medical Academy,1
34,false,11/26/2023,11/23/2023,Sevastopol National Technical University,1
35,false,10/19/2023,5/21/2023,University of Bunkyo,1
36,true,9/29/2023,5/5/2023,Cyprus International University,1
37,true,2/23/2023,11/21/2023,Furman University,1
38,false,9/29/2023,4/13/2023,Nagasaki Prefectural University,1
39,true,1/3/2024,7/2/2023,Alahgaff University,1
40,true,12/28/2023,1/26/2023,University of Hartford,1
41,false,10/29/2023,9/18/2023,Knightsbridge University,1
42,false,1/23/2023,6/25/2023,Universidade Federal de Roraima,1
43,false,9/2/2023,9/23/2023,Sheridan College,1
44,true,2/22/2023,12/12/2023,Heartland Baptist Bible College,1
45,true,10/21/2023,5/5/2023,Hiroshima University of Economics,1
46,false,7/19/2023,3/2/2023,Université d'Evry Val d'Essonne,1
47,false,12/3/2023,7/14/2023,Okayama Shoka University,1
48,true,7/7/2023,7/14/2023,Reformed Church University,1
49,true,6/5/2023,10/24/2023,"Irish University Business School, Cebu",1
50,true,8/11/2023,1/30/2023,"University of Wales, Aberystwyth",1
51,true,7/31/2023,5/14/2023,Kunsan National University,1
52,true,1/1/2024,9/16/2023,Zhongnan University of Finance and Economics,1
53,false,2/13/2023,7/21/2023,Vitebsk State University,1
54,true,12/6/2023,1/1/2024,DEI Bachelor & Master Degrees,1
55,false,8/26/2023,12/8/2023,European Institute of Education,1
56,false,3/22/2023,2/19/2023,Pontifícia Universidade Católica do Rio de Janeiro,1
57,false,12/17/2023,9/4/2023,Amman University,1
58,true,5/27/2023,2/23/2023,Université Montesquieu (Bordeaux IV),1
59,true,10/14/2023,8/3/2023,University of Lucerne,1
60,true,10/17/2023,1/4/2024,University of Italian Studies for Foreigners of Perugia,1
61,true,8/7/2023,8/20/2023,Juntendo University,1
62,false,12/30/2023,6/10/2023,God's Bible School and College,1
63,false,3/26/2023,6/18/2023,Perak Islamic College,1
64,true,10/25/2023,4/24/2023,University of Dundee,1
65,false,4/2/2023,8/20/2023,Civil Aviation University of China,1
66,true,7/1/2023,12/27/2023,Universidad Nacional de Tres de Febrero,1
67,true,5/5/2023,5/9/2023,Universidad Centroamericana,1
68,false,8/15/2023,5/18/2023,Notre Dame College,1
69,true,12/10/2023,12/1/2023,"Universidad de Puerto Rico, Cayey",1
70,true,5/20/2023,2/7/2023,Jaramogi Oginga Odinga University of Science and Technology,1
71,false,9/28/2023,11/4/2023,Moscow State Institute of International Relations MFA Russia (MGIMO-University),1
72,false,10/8/2023,12/18/2023,University of St. Cyril and Methodius in Trnava,1
73,true,3/15/2023,4/2/2023,Wayne State College,1
74,true,12/16/2023,3/29/2023,Seigakuin University,1
75,false,11/23/2023,12/27/2023,Harbin Institute of Technology,1
76,true,8/15/2023,11/14/2023,Université de Kinshasa,1
77,true,9/17/2023,4/22/2023,University of Jan Evangelista Purkyne,1
78,true,5/27/2023,3/22/2023,Indira Gandhi National Open University,1
79,true,11/27/2023,1/25/2023,Kuvempu University,1
80,false,1/23/2023,5/26/2023,Konyang University,1
81,false,4/18/2023,8/9/2023,Ochanomizu Women's University,1
82,true,4/7/2023,2/4/2023,Tashkent University of Information Technologies,1
83,true,7/22/2023,2/16/2023,Universidad de San Buenaventura Medellin,1
84,false,11/29/2023,1/27/2023,Université de Metz,1
85,true,1/28/2023,2/6/2023,University of British Columbia,1
86,false,12/2/2023,1/3/2024,University of Education,1
87,false,5/18/2023,12/3/2023,Napier University,1
88,false,3/25/2023,3/13/2023,New York Film Academy,1
89,false,9/20/2023,9/30/2023,Norway's Information Technology University College,1
90,true,3/4/2023,11/28/2023,Universidad Iberoamericana de Ciencias y Tecnologia,1
91,false,1/4/2024,11/5/2023,Universidad de Ciencias de la Informatica,1
92,false,4/16/2023,10/26/2023,St. Joseph College,1
93,true,9/5/2023,7/22/2023,Iceland Academy of the Arts,1
94,true,6/17/2023,1/20/2023,Nazareth College,1
95,true,10/18/2023,7/13/2023,Escuela Agricola Panamericana Zamorano,1
96,true,4/1/2023,2/11/2023,University of Louisiana at Monroe,1
97,false,6/11/2023,5/15/2023,Universidad Abierta Interactiva,1
98,true,1/15/2024,4/15/2023,University of Reading,1
99,true,5/12/2023,3/11/2023,University of Gdansk,1
100,true,12/14/2023,7/26/2023,Universidad Particular de Chiclayo,1
101,false,5/29/2023,2/5/2023,Kasetsart University,1
102,false,5/16/2023,6/24/2023,Sheffield Hallam University,1
103,true,9/8/2023,10/5/2023,Westhill University,1
104,false,4/5/2023,1/19/2023,Veterinärmedizinische Universität Wien,1
105,true,2/7/2023,11/30/2023,National University of Management,1
106,false,11/20/2023,12/2/2023,Hanoi Open University,1
107,true,6/11/2023,11/12/2023,"Institute of Advanced Legal Studies, University of London",1
108,true,1/15/2024,5/22/2023,Eastern Mennonite University,1
109,false,6/1/2023,11/15/2023,Université de Liège,1
110,true,8/13/2023,6/21/2023,Taj International College,1
111,false,7/12/2023,7/2/2023,University of New York in Prague,1
112,true,5/5/2023,2/9/2023,Universidad Autónoma de Las Américas,1
113,true,5/30/2023,12/7/2023,"National Institute of Technology, Durgapur",1
114,false,9/3/2023,3/28/2023,Sam Houston State University,1
115,true,2/12/2023,7/10/2023,Nebraska Methodist College of Nursing and Allied Health,1
116,true,1/24/2023,7/20/2023,Capital University,1
117,false,3/20/2023,10/15/2023,Fundación Universitaria San Martín,1
118,false,10/28/2023,12/5/2023,Espam Formation University,1
119,false,4/11/2023,8/3/2023,Nairobi Institute of Business Studies ,1
120,true,9/16/2023,9/30/2023,National Yunlin University of Science and Technology,1
121,true,12/13/2023,7/27/2023,University of Gujrat,1
122,false,10/4/2023,9/12/2023,University of Batangas,1
123,true,5/25/2023,11/24/2023,Oradea University,1
124,false,3/11/2023,1/26/2023,Universidade Católica de Pernambuco,1
125,false,6/28/2023,1/2/2024,"Islamic Azad University, Gorgan",1
126,false,5/29/2023,12/18/2023,College of Visual Arts,1
127,true,8/19/2023,8/19/2023,Molloy College,1
128,false,7/24/2023,6/7/2023,"Monash University, Malaysia Campus",1
129,false,8/20/2023,8/16/2023,Chongqing Education College,1
130,true,9/20/2023,12/10/2023,Florida Community College at Jacksonville,1
131,true,10/30/2023,5/23/2023,Université Paris Sud (Paris XI),1
132,true,6/28/2023,8/8/2023,Yokkaichi University,1
133,false,6/13/2023,1/1/2024,"Universidad de Puerto Rico, Aguadilla",1
134,false,8/6/2023,4/28/2023,Université de Rouen - Haute Normandie,1
135,false,4/24/2023,6/26/2023,Vidzeme University College,1
136,false,1/11/2024,4/22/2023,Kerman Graduate University of Technology,1
137,false,3/16/2023,9/16/2023,University of Priština,1
138,true,12/16/2023,2/26/2023,"Begum Rokeya University, Rangpur",1
139,false,8/6/2023,1/29/2023,Gansu University of Technology,1
140,true,3/24/2023,8/24/2023,"CollegeAmerica, Phoenix",1
141,true,4/8/2023,9/8/2023,Jinan University,1
142,false,11/13/2023,8/7/2023,Grand View College,1
143,false,3/29/2023,9/22/2023,Shoreline Community College,1
144,true,3/4/2023,12/28/2023,Detroit College of Law,1
145,false,8/8/2023,2/6/2023,Marietta College,1
146,false,5/6/2023,9/2/2023,Institute of Textile Technology,1
147,true,5/29/2023,3/17/2023,University of East,1
148,false,5/27/2023,5/1/2023,Universidad de Alcalá de Henares,1
149,true,4/9/2023,7/9/2023,Università Bocconi,1
150,true,1/20/2023,6/27/2023,Universidad Nacional de Tucumán,1
151,true,9/23/2023,4/25/2023,Kunmimg University of Science and Technology,1
152,true,1/20/2023,2/6/2023,Guangdong Peizheng College ,1
153,false,4/6/2023,11/18/2023,Universidad Nacional de Lomas de Zamora,1
154,true,2/15/2023,2/19/2023,Universidade Federal de São Carlos,1
155,false,12/2/2023,6/9/2023,University of Cambodia,1
156,true,7/6/2023,12/25/2023,Anna University,1
157,false,9/20/2023,1/8/2024,Fachhochschule Burgenland,1
158,true,8/22/2023,3/27/2023,Universidad Católica Nordestana,1
159,false,3/31/2023,2/25/2023,International Business University of Beijing,1
160,true,5/3/2023,4/1/2023,Westhill University,1
161,false,8/30/2023,11/22/2023,Fachhochschule der Wirtschaft,1
162,true,5/15/2023,7/8/2023,Indiana University-Purdue University at Indianapolis,1
163,false,12/16/2023,9/12/2023,University of Ontario Institute of Technology,1
164,true,10/1/2023,3/11/2023,Berea College,1
165,false,11/27/2023,8/7/2023,Kobe Jogakuin University,1
166,true,8/4/2023,1/12/2024,University College of Saint-Boniface,1
167,true,3/7/2023,11/8/2023,Leiden University,1
168,true,8/17/2023,1/26/2023,University of Central Florida,1
169,false,9/22/2023,12/31/2023,Eckerd College,1
170,false,9/3/2023,8/12/2023,Agricultural University of Norway,1
171,false,5/5/2023,6/30/2023,Tabriz University of Medical Sciences,1
172,true,10/30/2023,7/15/2023,Universidad de Manizales,1
173,false,8/25/2023,6/21/2023,Aichi University of Education,1
174,true,10/22/2023,4/10/2023,Huanghe Science & Technology University,1
175,false,9/26/2023,5/28/2023,Korea Maritime University,1
176,true,2/1/2023,3/29/2023,Emily Carr Institute of Art + Design,1
177,false,8/30/2023,7/24/2023,Najaf Abad University of Applied Science and Technology,1
178,true,5/29/2023,12/25/2023,Universidad del Rosario,1
179,true,10/24/2023,5/14/2023,Private Fachhochschule Göttingen,1
180,true,7/12/2023,3/10/2023,Universiti Tun Abdul Razak,1
181,false,6/12/2023,12/12/2023,East Tennessee State University,1
